Timestamp,What Happened and When? (Feel free to include incidents that happened to you or to others close to you in your program/department/campus/lab/disciplinary group),What Was Your Status When the Incident(s) Happened?,"What Was the Status of the Perpetrator(s) (Particularly, relative to you)?",What Type of Institution Was It?,(Optional) What Was The Name of the Institution(s),Your Field/Discipline,The Gender of the Harasser,Institutional Responses to the Harassment (If Any),Institutional/Career Consequences for the Harasser (If Any),The Impact of the Harassment on Your Career,The Impact of the Harassment on Your Mental Health,The Impact of the Harassment on Your Life Choices/Trajectory,"Other Comments You'd Like to Add  (If you'd like me to know your name or the name of the perpetrator, please email me privately at gettenure@gmail.com. The purpose of this survey is to gather anonymous information to give a sense of scale.  As always, I will publish no information without explicit permission and extensive prior discussion)",What Was the Gender of the Harasser?
12/4/2017 11:04:42,"When I was an undergraduate, at the end of a fall semester course, my professor invited me to join a lunch discussion group he held with a select group of other faculty, grad students, and undergrads. Thus, I continued to see this professor during other semesters, and he was someone from whom I wanted a letter of recommendation for grad school applications. He kissed me and tried to have a relationship with me. I don't want to say any more, but...more could be said.",undergraduate,"full professor (45 years older than I was, by the way)",Other R1,,I was an English major. The professor was a botanist.,,none -- I didn't report it,none -- I didn't report it,nothing tangible,deep emotional scarring and feelings of discomfort and insecurity,none,,Male
12/4/2017 11:11:07,"I was raped by a professor nearly 10 years ago. Inquiries with classmates revealed similar things had happened to them, and that he targeted first-year female graduate students for ""collaboration"" opportunities. ",graduate student,Professor (but not advisor),Other R1,"University of California, Berkeley; University of Arizona",,,I contacted someone at University of Arizona to comment on his coming up for tenure. They told me other similar allegations had been made but that the allegations did not affect the tenure decision.,"None, apparently","Who knows? I have avoided all meetings that he is attending, which is a loss to me, not him",immense!,Can't assess.,***,Male
12/4/2017 11:13:43,Was working out at my university gym [I'm faculty] when an older white man who worked for food service making smoothies mad inappropriate noises when I did hip thrusts and then made a comment about how slender I was looking.,"tenured, full professor.","contingent, subcontracted staff ",Regional Teaching College,ETSU,Women's Studies,,"I asked that he be removed from working at the gym and placed in a different food service establishment, but behind the scenes where his ability to harass our students would be less.","Not sure. I believe he was moved, and recently I suspect he lost his job, as he was hanging out in a coffee house M-F during work hours","None, really.","At first I was in a state of disbelief and anger; I still am. I was amazed that, at age 45, I would be sexually harassed at my workplace, somewhere that, until earlier this year with the Tristan Retkke civil rights intimidation, I’ve always felt very physically safe, very protected because of the regular training everyone at ETSU receives regarding diversity and harassment. I took one or two days off work to process the experience because I was unable to focus on my work. I decided to report this to the Office of Equity and Diversity because I understand the psychology and personality of people who sexually harass; they habitually offend because of their sense of entitlement; plus they’re usually allowed to repeat their bad behavior. I don’t want XXXXX to sexually harass any of our students, staff, or other faculty. I feel like I’ve dealt with this fairly well, but I know that others are not as well-grounded as I, and I wish to prevent anyone else, particularly our vulnerable students, from suffering due to XXXXX’s callousness and illegal remarks. 
This was not the first time I was sexually harassed in my workplace (this happened in 1992). The harassment this October triggered flashbacks of the earlier physical sexual harassment that I experienced, as well as a resurfacing memories of the negative and cursory attempt of that workplace to investigate the claim, which the company failed to take action on. The 2016 harassment has had a significant affect upon my emotions and my physical health. 
Until that day I’d consistently come to the CPA 5, 6, or sometimes 7 days a week, to exercise. Since then, motivation for pursuing my health goals has plummeted and I’ve gained 5-10 pounds because I’m not exercising consistently. That may not seem extreme, but taking each of those pounds off was a struggle and a reflection of very hard work at the CPA and attention to nutrition, which has also slipped, as I tend to eat as a stress-response. Every time I come to the CPA I consciously avoid going near the Freshens area or catching XXXXX’s attention. When I can, I time my workouts within the small window when the Freshens smoothie area is closed. Instead of being a safe and welcoming place, the CPA has very negative associations for me. Up until October, I’d never felt unwelcome or out of place at the CPA. The permanent staff of the CPA, student workers, and people using the gym—staff, students, faculty, etc. create a supportive and welcoming environment. The CPA was my happy place and I relished the time I spent there. I’m very upset that my exercise regimen has stalled because of XXXXX’s verbal harassment of a sexual nature and inappropriate comments about my body. 
Besides building muscle and cardio conditioning, I use visits to the CPA as a means for controlling my stress. Going everyday made a dent in my stress. Now, going once a week, or once every two weeks, is not controlling my stress. In fact, it creates anxiety for me because I must be hyper-vigilant about not attracting any harassment from XXXXX or other people. It’s irrational because I know that everything I do at the gym is perfectly normal and within regular expectations of types of exercises. Further, my attire has always met and exceeded the dress code suggested for CPA gym-goers, but since XXXXX’s comments about my body and weight, I am anxious and motivated to conceal as much of my person as possible. 
While I made an initial inquiry about filing a complaint in October, I’ve delayed making a formal, written complaint because reliving the experience by writing about it, and then describing the affect it’s had on me, is unpleasant. Analyzing how it’s distressed me will make me dwell on it for days and disturb my mood and emotional state. 
","The 2016 harassment has had a significant affect upon my emotions and my physical health. 
Until that day I’d consistently come to the CPA 5, 6, or sometimes 7 days a week, to exercise. Since then, motivation for pursuing my health goals has plummeted and I’ve gained 5-10 pounds because I’m not exercising consistently. That may not seem extreme, but taking each of those pounds off was a struggle and a reflection of very hard work at the CPA and attention to nutrition, which has also slipped, as I tend to eat as a stress-response. Every time I come to the CPA I consciously avoid going near the Freshens area or catching XXXXX’s attention. When I can, I time my workouts within the small window when the Freshens smoothie area is closed. Instead of being a safe and welcoming place, the CPA has very negative associations for me. Up until October, I’d never felt unwelcome or out of place at the CPA. The permanent staff of the CPA, student workers, and people using the gym—staff, students, faculty, etc. create a supportive and welcoming environment. The CPA was my happy place and I relished the time I spent there. I’m very upset that my exercise regimen has stalled because of XXXXX’s verbal harassment of a sexual nature and inappropriate comments about my body. 
Besides building muscle and cardio conditioning, I use visits to the CPA as a means for controlling my stress. Going everyday made a dent in my stress. Now, going once a week, or once every two weeks, is not controlling my stress. In fact, it creates anxiety for me because I must be hyper-vigilant about not attracting any harassment from XXXXX or other people. It’s irrational because I know that everything I do at the gym is perfectly normal and within regular expectations of types of exercises. Further, my attire has always met and exceeded the dress code suggested for CPA gym-goers, but since XXXXX’s comments about my body and weight, I am anxious and motivated to conceal as much of my person as possible. ",,Male
12/4/2017 11:14:01,"I was the sole graduate student representative on a university committee charged with evaluating faculty applications for a faculty teaching honor society. All faculty members of the committee were members of the honor society. Committee members were to be paired in teams to evaluate a stack of applications. After our first committee meeting, a tenured professor (about 40 years older than me and from another department) complimented my ideas in front of the whole committee and requested to work with me specifically. At the time, I was excited to be 'chosen' by a faculty member and to receive recognition for my ideas. He invited me to sit in on one of his undergraduate lectures and meet with him afterward in his office to discuss our committee obligations. In our conversation, he asked me about my research and I shared information about my project (and the fact that my project was informed by a personal experience of reproductive loss) . He told me that he *knew* he sensed something *different* about me, but presumed that I had been sexually molested. He then put his hands on my upper thigh and started caressing me. I almost overlooked the fact that he was touching me because I was so horrified and self-conscious thinking that something about how I conducted myself at the first committee meeting gave him the false impression that I had been sexually molested. In retrospect, I now that he was fishing for information and testing the waters with me to assess my vulnerabilities. And I know now that I was targeted by him, which is why he specifically asked to work with me in a team. But at the time, I completely internalized blame for what was happening and thought that I must have done or said something to give him this impression. Regrettably, the approach that I took to dealing with his unwanted attention was to continue working with him in a team and 'prove' (to him? to myself?) that I was capable, confident, in control, and NOT ""damaged"". All that resulted in was more situations where we were alone together. The whole experience was gross and inappropriate. I want to be 100% clear that I do not think that victims of sexual violence are ""damaged"". I'm simply saying that, at the time, I had internalized the idea that he thought I was damaged and that I had something I needed to prove to him. ",M.A. Student ,Tenured Full Professor in another department & school within the university,Other R1,University of Cincinnati,"Women's, Gender & Sexuality Studies",,not reported,none,n/a,"self-doubt, self-loathing",n/a,,Male
12/4/2017 11:14:47,"A fellow student told me in a class that my work (which was about rape and rape culture) shouldn't be about those things. He proceeded to also tell me privately that I should avoid being seen as a ""man-hater"" or a misandrist, and should explore other themes in my work. Later, he described to me the ways in which my work was successful as though my work didn't involve any intention or craft on my part--as though I'd accidentally gotten a few things right. He is 10+ years older than me. He also attempted to speak poorly about me to my (male) partner.",Graduate student,Graduate student,Other R1,Ohio State University,Creative Writing,,"He was accused of sexual harassment by another student and I testified in that case in a preliminary phone interview. During the actual trial, only students who had said positive things about him in their phone interviews were asked to testify.",N/A,N/A,Anxiety,N/A,,Male
12/4/2017 11:17:31,"To quote our president, I was ""grabbed by the pussy"" by someone who had been a long-time friend and colleague (and was married to one of my best friends and also a colleague). This happened at an academic conference in August of 2016.",PhD Candidate (ABD),PhD Candidate (ABD),Other R1,University of Connecticut,English,,"Because both he and I were in the dual status of being graduate students and also instructors, the situation was adjudicated twice. With regard to his student status, he received probation (one of the lowest disciplinary actions possible). With regard to his employment status, I'm not legally supposed to know what happened, though they did take action.","Apart from his getting probation as a grad student, I can't really say.","I dealt with that situation for a year and got very little work done on my dissertation. My teaching was affected in a variety of ways (having to cancel class once because of a panic attack, having to move my office hours because my office itself was changed because I previously shared an office with my attacker and his wife, simply being off my game on days when I had to deal with the university's investigation...). I have not gone to an academic conference since because I can't quite stomach the thought. I hope my relationship with my dissertation director has not been affected, but it's hard to say -- he advises both me and my attacker (and, incidently, is the Director of Graduate Studies), so I know he was put in a difficult position. I am also much more wary of academia now than I even had been before (and, spoiler, this isn't the first time I've been sexually assaulted by someone in academia -- I already submitted an earlier response here).",I saw a therapist for a year and continue to struggle with what happened.,hard to say right now,,Male
12/4/2017 11:19:33,"I was coerced into an unwanted sexual encounter through threats, lies, manipulating me through my relationship with his child, and cornering me into professional and personal situations in which I relied on his help, behaving as if he were on my side. ",Graduate student,Faculty member in my department,Elite Institution/Ivy League,,English,,,None to my knowledge,That person was one of two faculty members in my field at the time. I cut off essentially all ties with my department while still attempting to complete my dissertation. I moved to a different town. ,"I spent years blaming and shaming myself for the interaction. I still have recurrent intrusive thoughts about it. Along with other instances of sexual harassment, coercion, and assault I have experienced it caused me to have a traumatic relationship to sex. ",I left the academy. ,"The academy breeds and coddles manipulators and aggressors of all kinds, especially sexual. I'm healthier and happier now that I am away from it. That's partly because I am away from my harasser; but there were many harassers—I just wasn't always their target. Many of my friends have been harassed, assaulted, and raped by peers and supervisors in the academy. Only in one case did I see someone brought to any kind of justice, and that was a graduate student whom the department already wanted to kick out. 

The sexual violence of academia can seem to be its own thing, but I think it is inseparable from academia as a rigid power structure in which very few (usually white, usually male) people have essentially absolute control over the careers and well-beings of a larger group of (usually younger, often female, often economically precarious) people. Graduate students, adjuncts, and junior faculty have almost literally no recourse whatsoever in response to exploitative treatment.",Male
12/4/2017 11:26:33,"Forcefully kissed and groped twice. Once in front of several others in my own and related fields. One person tried to help me get away in the moment, while others ignored the situation or egged him on. Later cornered by the same individual in private and again forcefully groped and pressured to engage in sexual acts. ",grad student,senior scientist in a related field,"More Than One Institution (feel free to elaborate in ""Comments"")",,STEM,,none,none,"No direct consequences, but I am aware of rumors around the incident that I fear may damage my career indirectly by proceeding my emerging scientific reputation. ","This has had tremendous impact on my mental health, in terms of reduced confidence, memory loss and flashbacks around the two encounters, and panic attacks associated with the rare but ongoing need to interact with the perpetrator. ",I waste too much mental energy both thinking about and trying to not think about this. Otherwise I am trying to not let this impact my life. ,,Male
12/4/2017 11:26:59,Sexual Harassment and bullying,PhD Student,Tenured professor,Elite Institution/Ivy League,,English,,Nothing,None,"Confidence, bullying in front of students I was teaching was humiliating",Extremely stressful,"I continued in academia, but it severely knocked my confidence. ",,Male
12/4/2017 11:27:52,"It's an open secret that several senior male faculty are serial sexual harassers, and have gotten away with it in plain sight for decades.",PhD student,Senior faculty,Other R1,Wisconsin Madison,Sociology,,"Denial, cover-up, silence, enabling, ""he's retiring soon,"" ""he brings in a lot of grant money,"" ""he's a prominent scholar in his sub-field""","Absolutely none. The department has never acknowledged the existence of a problem, much less its real extent.",I am leaving academia.,I developed panic disorder and had extreme difficulty finishing my dissertation.,I have no interest in working in a university setting.,,Male
12/4/2017 11:29:35,"Sexually harassed after a dinner for interviewees for an academic job. Fellow interviewee made several passes at me. Unfortunately, he got the job over me.",Grad student,Part-time professor at the institution where we applied for the job,Elite Institution/Ivy League,,English,,Never told anyone,None,"I didn't get the job, as I was rattled, and performed badly in interview.",It definitely played a role in my lacklustre interview performance.,I didn't get a job that I badly needed. ,,Male
12/4/2017 11:31:10,"I was a graduate student assigned to a professor who was known to make a move on his TAs.  Also, there were male grad students who received assistantships.  Only they put me with him knowing who he was.  I was called in to the grad director's office, a man, and he told me to watch my back and to be careful.  He said ""sometimes you just have to take one for the team"" when I asked why I was assigned to him.  We went all semester without an incident. No inappropriate comments, no groping, no moves.  Then it was finals and we were grading in his office and it started.  I said I needed to go, that I had a thing, and would take my portion home to grade and have them to him soon.  I tried to get out of there as fast as I could.  He walked me to the main office and just as I was going to turn the corner to enter the office, he grabbed my by the shoulders and tried to kiss me.  I ducked as fast as I could and made it a point to never be alone with him again.  Thank God this was my last semester of eligibility and I was moved to grad instructor status after that.  ",I was in my second year of grad school at the MA level.  I was a TA.,Full professor,R2,East Tennessee State,History,,"I did not report it for fear of losing my GRAship.  I was told by my grad director that ""sometimes you have to take one for the team""",None.,None.  I didn't say anything. ,It shook me up for sure.  I was definitely more careful in the future.,None.,,Male
12/4/2017 11:31:48,"On the card given to me at my going-away party, someone had written ""I regret that I didn't fuck you before you left."" ",Administration.,Anonymous,Other R1,New York University,Academic computing,,None ,None,Have not returned to academia,Feeling devalued for my skills and abilities.,,,"Unsure (if harassment was anonymous, for example)"
12/4/2017 11:32:45,"Female colleagues in my department decided to create an anonymous form so that graduate students, and others in the department, could report gendered issues and issues of sexual harassment. Once they are reported, we write them in n a Post-It and stick the Post-It to one of our doors. The male faculty are now reporting that they feel this is a micro-aggression and is creating a climate issue where they no longer feel appreciated. Two of us are untenured, and the males complaining are all either tenured Associates or Fulls. They are requesting a report by the chair on the one-on-one discussions that he had about climate earlier in the year so that they can find out who is saying what. This issues has been ongoing for at least 2 years but they refuse to see that there is a problem with their behavior. Instead they claim that it is a matter of perspective.","Untenured, tenure track",Associate and Full,Other R1,,Political Science,,,,"They have made it clear that this is embarrassing and unfair for them, and that we are creating a negative environment for them.","It is very difficult to come to work. We are cornered by them in the hallways, or excluded from events entirely. ",,,Male
12/4/2017 11:43:08,"What I thought was a friendship with the retired chaplain went weird when he started showing up at my house unannounced. He got all defensive when I told him my son didn't like his hugs. Then he kissed me. I told him that was unwanted and he said he thought I'd indicated somehow that it would be welcome. I got him to stop coming by, but then he would call the house and not say anything when I answered. I told him that I would call the police and ask for a restraining order if he didn't leave me alone.",Full Professor,"Retired, but apparently well-respected on campus and around town.",Small Liberal Arts College,,Prefer not to answer,,"The Dean of the Faculty, after some indecision because the guy was retired, agreed to have a conversation with him. The Dean then called me back to report that the guy apologized, but also asked that I ""not be too angry."" ","Just a conversation with the Dean, which was probably embarrassing, since they were technically in the same academic department.","None, at least not directly.",I criticized myself for not recognizing that this was harassment until well into it - and I was even on a committee writing up a harassment policy years earlier! I was also upset that I had allowed the guy to annoy one of my kids. ,"Not all bad -- I think I've gotten better at protecting myself. This was partly due to the support I got from my own minister (a woman, as it happens) who knows how clergy members are capable of abusing their power. I hope it means I'd be more helpful to harassment victims if they share their experience with me.","I still wish I'd told the Dean that he shouldn't have let the harasser recast the problem as being about my anger rather than the harasser's creepy behavior. I'm also still annoyed at the then-Chaplain, who is a friend of mine but also got her job because of the creep, and knew that he had engaged in similar behavior before. He may have been delusional, but that's no excuse for his enablers. ",Male
12/4/2017 11:44:38,"SPECIFIC: 1. Senior Prof asked me to go ""watch a movie"" with him at his home when his wife was away. He put his hands on my shoulders when he asked. I said ""no"". He was my on my MA committee. Soon after that, the day of my thesis defense, without notice, he dropped himself from my committee. He said that he didn't respect the work and could not be on the committee. If Prof. Charles Hudson had not been willing to step up and stand in for Blount I would have not been able to graduate.  2. Senior Prof put his hands on my back as I was sitting at a lab computer. I shot up, turned around, and said ""don't touch me"" and he grabbed my shoulders. I pushed him as hard as I could across the room. 3. Junior Prof cornered me in the elevator at the AAA meetings in Atlanta in 1994. He rubbed his penis against me and wouldn't let me out of the elevator. I got out and avoided him the rest of the conference. It was my first AAA. 

NON SPECIFIC: 1. Endless starring at my breasts and not my face when speaking to me or listening to me speak. 2. Commenting on my appearance (e.g. woman faculty member said to me ""Oh, you will be fine, being pretty will get you far"") and / or not taking me seriously because of my appearance --e.g. once was publicly questioned my ability to gather data in Highland PNG because a junior man said I was too attractive for people to take me seriously.  3. When I was a PhD student some post docs started a rumor that I was sleeping with my advisor (I was not, did not, would not, do that). They talked about it so widely that it got back to all of my committee and everyone else in my graduate program. ","1. MA, 2. PhD, 3. MA --- non specific, through career ","1. Full Prof, 2. Full Prof, 3. Post Doc","More Than One Institution (feel free to elaborate in ""Comments"")","1. UGA, 2. Rutgers, 3. AAA meetings ",Anthropology ,,"1. MA commmittee, 2. prof in my department, 3. none ","none, none, none ","I never shut a door in an academic institution. Ever. Also, I learned never to be alone with senior male faculty as a graduate student. ",I don't know. ,"I think the instances made me a better mentor for my own students and fully, completely, intolerant of people harassing students. ",,Male
12/4/2017 11:45:31,"Before I arrived at graduate school, I was warned by my previous mentor to stay away from a particular tenured faculty member because he had a ""track record"". I actively avoid this faculty member, but know multiple graduate students who have been verbally attacked and sexually harassed by him. He even talks explicitly about sex and grad students at conferences. ",grad student,tenured faculty member,Elite Institution/Ivy League,,anthropology,,The chair of our department and other faculty members have either ignored the situation or told people who have come forward to forget about their experiences.,,I've cut myself off from university resources and networking opportunities because it would put me in the same place as this individual,"His presence and his actions against my friends and colleagues makes me upset daily. I am always conflicted about whether or not to come forward. He hasn't done anything to me personally, and my friends don't want to come forward for fear of retaliation.","I'm completely disillusioned about academia, my previous career choice. I have 3.5 more years til I get my phd, but I am considering dropping out. If I stay, I will likely switch careers after getting my degree.",,Male
12/4/2017 11:45:48,"A donor was verbally abusive to multiple staff members,  including telling inappropriate stories of a sexual and racist nature.  Donor threatened female staff with blackmail if they displeased him.  ",Staff manager,"Donor to my unit,  board member",Other R1,Penn State,Development,,"Minimal.  I removed him from the board,  removing his access to football tickets and campaign volunteer events.  ",Loss of board membership and access to the presidents football box. ,Minimal,"As his behavior became more erratic,  I was subjected to increasing stress and greater scrutiny.  It took about 2 years to get the support necessary to revoke his board membership.  ",None,,Male
12/4/2017 11:51:16,,,,Other Research Agency,,,,,,,,,,Male
12/4/2017 11:55:43,Systematic non sexual abuse,PhD candidate,Full tenured professor,,,Anthropology,,None,Forced out,Changed disciplines,,,,Female
12/4/2017 11:56:04,A donor did not like women.  He did not feel they should have jobs.   Hee was very critical of them and would not meet with them. , Development officer,Major donor to my department,Other R1,,Development,,"The unit organized to interact with him through men,  when necessary.  Good friend often intercede. ",None,Great inefficiency regarding his giving.   ,Minor stress. , Minimal.  ,,Male
12/4/2017 11:56:44,"I was approached by a professor at Arizona State University in my practice room around 11:45 pm one night. Blocking the door, he asked that I leave with him. I had to refuse multiple times before he left. After that, I received no more opportunities to play in the ensemble he conducted. ",master's student,professor and ensemble conductor,Other R1,see above,music,,none,none,none,embarassment,"I realized I had to be ""tough,"" and accepted the idea that managing the behavior of those in positions above mine was my responsibility - I accepted that I might need to tolerate some harassment in order to have playing opportunities. Certainly, as I became a professional musician, that was the case. ",,Male
12/4/2017 12:03:01,"We were working at the same projet. At the beginning he started with comments on my look when it was clear that I was not interested in him, he started to make critiques and label me as ""lesbian"", ""aggressive"", ""difficult person"", ""impossible to 'manage'""...when my supervisor (female) was still at the university there was a non written agreement on my hiring at the department. When my supervisor got retired and the man became associate professor he removed me from any research group and activity.",I was post-doc. Thanks to him I am still a post-doc researcher.,Assistant professor then associate professor,R2,"University of Padova (Italy) Department of Philosophy, Sociology, Education and Applied Psichology",Sociology of work,,"Director of the doctoral program (sociology), professor of sociology of work",None only promotions thanks to his skill to build network with powerful men and women in the academy,"Zero research contracts, isolation and difficulties in having any kind of position in other Italian universities because his powerful position in my discipline and the impossibility to explain the reason why I wanted to move from Padova.",Terrible. Lack of confidence in myself. Depression. I cannot even remember my disease,Crucial. I am still trying to find a stable position. I had to move in France in order to avoid to stay in the provincial milieu I have known in Italy.,,Male
12/4/2017 12:04:07,All during my MFA (fall of 2013 - spring of 2016) my thesis director talked explicitly about her sex life to me and other (usually female) students both in and out of class,MFA student ,Tenured professor. She was my thesis director,R2,Southern Illinois University ,Creative Writing ,,None ,None,"Little,  though it did make my MFA experience uncomfortable ","My thesis director was toxic for this and many other reasons that don't specifically have to do with sexual harassment. In aggregate, the affect on my mental health was significant -- I was often depressed and afraid to go to individual thesis hours. ",Little,,Female
12/4/2017 12:05:57,"When I finished my PhD, my male advisor kissed me on the lips. He had only once before let his hands stray across my chest while reaching across me to open a car door (he was the driver, I was in the passenger seat). A year after I finished, I got married and he said that he'd not felt comfortable telling me he beautiful he thought I was until after I was ""safely married."" A small vignette of this relationship.

When I started graduate school, I was walking outside during a field course and hear a conversation between two male students -- one said ""she's so fat"" and the other said ""I'd still fuck her."" One of several of these types of incidents.

I could go on, but not today.","grad school, finishing Ph.D., after Ph.D.","Fully tenured professor, peers",Other R1,,ecology,,none-did not report,none,Exhaustion,Demoralization,"I move in and out of non-tenured academic jobs, always at the margins.",,Male
12/4/2017 12:07:56,,,,,,,,,,,,,,
12/4/2017 12:08:41,"As I was finishing my PhD, a senior male at my university and in my field, though not in my department, began to talk often with me about his unhappy marriage in ways that were not appropriate. Here's the thing: it never really got worse than this, but only because I got lucky and because I did a lot of work to keep our relationship 'professional.' It started out with him being flattering (saying very nice things about my mind/intellect) and progressed to him inviting me to meals where he would pour his heart about his own failing marriage and make suggestive advances. As this was happening, he gave me a few academic perks (a chance to publish in his journal, participation at a conference he was running) that were useful for my career and which I was happy to have-- though I was always hesitant to take these things and eventually started to say no. At the time I was sad for him. He was very lonely, up for tenure, and clearly under a lot of stress (he is now department chair). As I look back from the safe distance of nearly a decade of time, I feel really sorry for me-- that at a time when I should have been fully absorbed in my writing and gaining confidence in myself as a scholar, I was managing a faculty member's odd sexual pursuit. I ended up graduating a year early and was fortunate the leave the city where he was and not come back. I never told anyone but my husband (who was my husband at the time). I just wanted it to go away. This man made a point of telling me how special I was and I didn't actually see him doing this to anyone else. In hindsight, I would guess I wasn't so special and he's probably used other women who weren't able to get away as easily as I was. I still have to see him at conferences every now and then, and now it almost seems as if this never happened. Is this even worth writing up here? I do wonder if this even counts as harassment (it is, but somehow I feel like it must have been partly my fault). ",PhD ,Assistant Professor (now tenured),Elite Institution/Ivy League,,,,,,,,,,Male
12/4/2017 12:09:01,"I was a tutor for student athletic services, and a fellow tutor would sit beside me while I tutored, opposite the student I helped. The fellow tutor would then touch my back and butt. ",I was a graduate student,"Another graduate student in another department, but in STEM, like me",Other R1,,Physics,,"I told my supervisor, and she said (roughly), ""He would never do that, he is married."" ",None,"I told the harasser to keep an arm's length away from me. He never came within 10 meters of me again. It had no impact, other than to leave me angry with the harasser and the inaction of our boss.",None.,None.,,Male
12/4/2017 12:10:15,Sexually assaulted by advisor after argument in his office,Grad student,Dept Chair & my advisor,Other Type of School,State University,Counselor Education,,"Reported later to protect another student was told ""what do you want to do ruin his career"" and ""students lie""",None,"Ostracized by peers (apparently he was telling people I was ""crazy"" and not to talk to me, one of my peers reported to me after graduation he cornered them in an elevator and said ""it would be bad for your careerto keep talking to her"") leading to lack of support and connections in and after school, loss of a mentor to whom I reported the situation and the connections and protectio he provided, loss of a job when a different incident handled in a similar way sent me into a PTSD related depression","PTSD chronic with both anxious and depressive symptoms, social phobia, panic attacks that manifest as pressured speech (I babble inanely when nervous and dont leave room for others making it hard to connect) and occassional depersonalization (loss of hearing, sight) excessive ruminating coupled with flashbacks and day terrors that make it hard to go to work or be around people, physical changes including chronic fatigue and somaticization (body pains and chronic colds)","Between the assault and the subsequent blame and shame from a trusted mentor, I generally don't participate in anything organized by my discipline including live trainings (bc they happen on campus, are organized by these people or their friends, or they could attend), network opportunities, etc. ","After the assault, he laughed at me and said ""I own you now"" & ""go ahead and tell, no one will believe you"" and of course, the person I told, who always believed me called me a liar and both men encouraged me to commit suicide  (my abuser said ""I feel bad for you, it is a wonder you are alive"" and ""people like you often kill themselves"" with all the authority of a therapist and after my mentor called me a liar and I became increasingly suicidal & visibly depressed and lethargic said ""suicidal people are so manipulative. If you wanna die, just die. Dont think I will feel bad about it."" Also with all the authority of a well respected therapist.) Without my amazing support network that walked me to and from class and to my car bc my abuser used the same parking lot, and took me out and repeated over and over again they believed me I would not be alive.",Male
12/4/2017 12:10:41,"At an off campus event with multiple faculty and luminaries (`40+ people) from the field. A speech was made where everyone at the event was paying strong attention to the speaker. The speech was in fact a joke/toast where it was told that several of the men in attendance wanted to perform amorous/sexual acts with me (I was called out by name and the speaker pointed at me). I had been in my position for only a few months at the time. No one, male or female (aside from my spouse) at the event ever commented on how inappropriate this was or said they were sorry it occurred. This occurred over 8 years ago and I am still at the same institution due to various circumstances.  ",postdoc,faculty member (who retired soon after) ,Other R1,,neuroscience ,,none ,none ,"Hard to be certain, but it's been a very uphill battle. Especially since those who witnessed the harassment are still my colleagues/bosses. I am the lagging spouse in a 2 body problem. I am now TT, however it was not obtained without threatening to leave (and take my successful spouse with me.) ",This was one isolated incident but it definitely set the tone for my relationship to my colleagues and superiors. ,I'm very lucky that this and other things didn't completely derail my career trajectory. I tell this story pretty openly to my trainees. ,,Male
12/4/2017 12:14:08,"I was at a public event with students, faculty and staff at the end of the year and a faculty member gestured to my chest (I'm trans and still had breasts then) and said she hoped everything went well (I assume with my top surgery, which I don't know how she knew about). I know it's not the biggest thing but I felt so incredibly violated to have someone gesturing at and speaking about my chest at all, much less in public with students and my colleagues in close proximity.",Staff,Faculty,Small Liberal Arts College,Oberlin College,Student Life,,"Initially I asked my supervisor if they had told the faculty member about it (asking over text) and they responded angrily and indignantly, offended that I would ask such a thing of them. Then after meeting in person I said in my year-end report that I was hurt by what I perceived as a dismissive/blaming response to what felt like sexual harassment, and it was referred up to Title IX, who then emailed me. I said I didn't want to escalate it at all and they let it go.",None.,"It made me feel incredibly unsafe at the institution and with my supervisor, something that has worsened/continued since then. I'm currently looking for work elsewhere.","It began a period of serious depression and anxiety, and for the first time in my life I had to start attending therapy and my physicians and therapists have decided to medicate me. For a period I was actually suicidal, thinking about killing myself every day when I came in to work.",It's made me decide to leave this institution much sooner than I planned. I had hoped to stay here with my partner and build a family and a life in the area and now we are in a hurry to leave since we realize the college is no longer a safe place for me.,,Female
12/4/2017 12:15:31,"I was repeatedly asked again and again in a threatening and gruff way whether I was prepared to do part of the job I had been hired to do. This occurred with such frequency that it messed with my head and made me wonder why the man (my supervisor) was asking me every day and offering so little support. He  made semi-sexual jokes in my presence, not about me but about other women, and was threatening and angry whenever I disagreed with him. I knew of his reputation as a rager who verbally abused women in positions under him via email and in person as well as his long alleged history of sexual harassment. Finally I told him that I didn't want to take on that leadership role. I made an excuse about having other things on my plate but the real reason was because I wanted to find a way to limit my interactions with him. This came with a pay cut. ","Assistant Professor, tenure track","Associate Professor, tenured",Small Liberal Arts College,,Creative Writing,,"I did not report because I feared direct retribution, which I think was a wise move, as this guy is unhinged and would have done anything to sabotage my tenure application. ",None. He's only been rewarded by the institution and teaches on a lower teaching load despite his limited accomplishments and limited commitment to the institution.,"I have managed finally to get into the leadership position and I'm doing it much better than he did. I feel like the only long-term impact was that in my three years before tenure, I was a complete nervous wreck. ","I was a nervous wreck for three years, which exacerbated a chronic illness and made things difficult at home and with my writing. ","I have chosen to limit any exposure to this man in my department, which means I am much more shaky in meetings and in a leadership role than I would otherwise have been, but my revenge has been to kick ass. ",I am going to fill out an other entry for another harassment instance at a different institution. ,Male
